MAJOR
ACCOUNTING
ACTING
ACTUARIAL SCIENCE
ADVANCED MEDICAL IMAGING TECHNOLOGY
ADVERTISING AND PUBLIC RELATIONS
AEROSPACE ENGINEERING
AFRICANA STUDIES
AGRICULTURAL ECONOMICS
AGRICULTURE PRODUCTION AND MANAGEMENT
ANIMAL SCIENCES
ANTHROPOLOGY
ANTHROPOLOGY AND ARCHEOLOGY
APPLIED ADMINISTRATION
APPLIED ADMINISTRATION - MANUFACTURING TECHNOLOGY
APPLIED MATHEMATICS
ARABIC LANGUAGE AND CULTURE
ARCHAEOLOGY - GEOARCHAEOLOGY
ARCHAEOLOGY - LANDSCAPE ARCHAEOLOGY
ARCHAEOLOGY - SOCIAL COMPLEXITY
ARCHITECTURAL ENGINEERING
ARCHITECTURE
AREA ETHNIC AND CIVILIZATION STUDIES
ART AND MUSIC EDUCATION
ART HISTORY AND CRITICISM
ASIAN STUDIES
ASTRONOMY AND ASTROPHYSICS
ATHLETIC TRAINING
ATMOSPHERIC SCIENCES AND METEOROLOGY
BACCALAUREATE DEGREE IN NURSING
BACHELOR OF ARTS IN ART HISTORY
BACHELOR OF FINE ARTS
BACHELOR OF SCIENCE
BACHELOR OF SCIENCE IN ARCHITECTURE
BACHELOR OF SCIENCE IN DESIGN
BACHELOR OF SCIENCE IN INTERIOR DESIGN
BACHELOR OF SCIENCE IN NURSING - ONLINE
BACHELOR OF URBAN PLANNING
BALLET
BIOCHEMICAL SCIENCES
BIOCHEMISTRY
BIOLOGICAL ENGINEERING
BIOLOGICAL SCIENCES
BIOLOGICAL SCIENCES - BIOLOGY OF ANIMALS
BIOLOGICAL SCIENCES - BIOMEDICAL STUDIES
BIOLOGICAL SCIENCES - CELL & MOLECULAR BIOLOGY
BIOLOGICAL SCIENCES - ECOLOGY & EVOLUTION
BIOLOGY
BIOMEDICAL ENGINEERING
BOTANY
BUSINESS ANALYTICS
BUSINESS ECONOMICS
BUSINESS MANAGEMENT AND ADMINISTRATION
CHEMICAL ENGINEERING
CHEMISTRY
CHEMISTRY-ACS
CIVIL ENGINEERING
CLARINET
CLASSICAL GUITAR
CLASSICS
CLINICAL PSYCHOLOGY
COGNITIVE SCIENCE AND BIOPSYCHOLOGY
COMMERCIAL ART AND GRAPHIC DESIGN
COMMERCIAL MUSIC PRODUCTION
COMMUNICATION
COMMUNICATION - ONLINE
COMMUNICATION DESIGN
COMMUNICATION DISORDERS SCIENCES AND SERVICES
COMMUNICATION SCIENCES AND DISORDERS
COMMUNICATION TECHNOLOGIES
COMMUNICATIONS
COMMUNITY AND PUBLIC HEALTH
COMPOSITION
COMPOSITION AND RHETORIC
COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY
COMPUTER AND INFORMATION SYSTEMS
COMPUTER ENGINEERING
COMPUTER NETWORKING AND TELECOMMUNICATIONS
COMPUTER PROGRAMMING AND DATA PROCESSING
COMPUTER SCIENCE
CONSTRUCTION MANAGEMENT
CONSTRUCTION SERVICES
COSMETOLOGY SERVICES AND CULINARY ARTS
COUNSELING PSYCHOLOGY
COURT REPORTING
CRIMINAL JUSTICE
CRIMINAL JUSTICE - ONLINE
CRIMINAL JUSTICE AND FIRE PROTECTION
CRIMINOLOGY
DIETETICS
DIETETICS - COORDINATED PROGRAM
DIGITAL MEDIA COLLABORATION
DOUBLE BASS
DRAMA AND THEATER ARTS
EARLY CHILDHOOD EDUCATION
EARLY CHILDHOOD EDUCATION - ONLINE
ECOLOGY
ECONOMICS
EDUCATIONAL ADMINISTRATION AND SUPERVISION
EDUCATIONAL PSYCHOLOGY
ELECTRICAL ENGINEERING
ELECTRICAL ENGINEERING TECHNOLOGY
"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION"
ELECTRONIC MEDIA
ELEMENTARY EDUCATION
ENGINEERING AND INDUSTRIAL MANAGEMENT
ENGINEERING MECHANICS PHYSICS AND SCIENCE
ENGINEERING TECHNOLOGIES
ENGLISH LANGUAGE AND LITERATURE
ENGLISH LITERATURE - CREATIVE WRITING
ENGLISH LITERATURE - ENGLISH EDUCATION
ENGLISH LITERATURE - LITERARY & CULTURAL STUDIES
ENGLISH LITERATURE - RHET & PROFESSIONAL WRITING
ENTREPRENEURSHIP
ENVIRONMENTAL ENGINEERING
ENVIRONMENTAL SCIENCE
ENVIRONMENTAL STUDIES
EUPHONIUM
EXPLORATORY
FAMILY AND CONSUMER SCIENCES
FILM AND MEDIA STUDIES
FILM VIDEO AND PHOTOGRAPHIC ARTS
FINANCE
FINE ARTS
FIRE SCIENCE
FLUTE
FOOD SCIENCE
FORESTRY
FRENCH
FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES
FRENCH HORN
GENERAL AGRICULTURE
GENERAL BUSINESS
GENERAL EDUCATION
GENERAL ENGINEERING
GENERAL MEDICAL AND HEALTH SERVICES
GENERAL SOCIAL SCIENCES
GENETICS
GEOGRAPHY
GEOGRAPHY - ENVIRONMENTAL-PHYSICAL
GEOGRAPHY - HUMAN-URBAN ECONOMIC
GEOLOGICAL AND GEOPHYSICAL ENGINEERING
GEOLOGY
GEOLOGY AND EARTH SCIENCE
GEOSCIENCES
GERMAN STUDIES
HARP
HARPSICHORD
HEALTH AND MEDICAL ADMINISTRATIVE SERVICES
HEALTH AND MEDICAL PREPARATORY PROGRAMS
HEALTH EDUCATION - EXERCISE & FITNESS
HEALTH EDUCATION - PUBLIC & COMMUNITY HEALTH
HEALTH INFORMATION MANAGEMENT ADMINISTRATION - ONLINE
HEALTH SCIENCES
HEALTH SCIENCES - ONLINE
HISTORY
HOSPITALITY MANAGEMENT
HUMAN DEVELOPMENT & COMMUNITY ENGAGEMENT
HUMAN RESOURCES AND PERSONNEL MANAGEMENT
HUMAN SERVICES AND COMMUNITY ORGANIZATION
HUMANITIES
INDUSTRIAL AND MANUFACTURING ENGINEERING
INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY
INDUSTRIAL MANAGEMENT
INDUSTRIAL PRODUCTION TECHNOLOGIES
INFORMATION SCIENCES
INFORMATION SYSTEMS
INFORMATION TECHNOLOGY
INFORMATION TECHNOLOGY - ONLINE
INSURANCE AND RISK MANAGEMENT
INTERCULTURAL AND INTERNATIONAL STUDIES
INTERDISCIPLINARY
INTERDISCIPLINARY - ONLINE
INTERDISCIPLINARY SOCIAL SCIENCES
INTERNATIONAL AFFAIRS
INTERNATIONAL BUSINESS
INTERNATIONAL RELATIONS
JAZZ STUDIES
JOURNALISM
JOURNALISM - MAGAZINE
JOURNALISM - NEWS
JOURNALISM - PHOTOJOURNALISM
JUDAIC STUDIES
LANGUAGE AND DRAMA EDUCATION
LIBERAL ARTS
"LIBERAL ARTS - MEDICINE, HEALTH & SOCIETY"
LIBERAL ARTS - ONLINE
LIBRARY SCIENCE
LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE
MANAGEMENT INFORMATION SYSTEMS AND STATISTICS
MARKETING
MARKETING AND MARKETING RESEARCH
MASS MEDIA
MATERIALS ENGINEERING AND MATERIALS SCIENCE
MATERIALS SCIENCE
MATHEMATICS
MATHEMATICS - MATHEMATICS
MATHEMATICS - STATISTICS/ACTUARIAL SCIENCES
MATHEMATICS AND COMPUTER SCIENCE
MATHEMATICS TEACHER EDUCATION
MECHANICAL ENGINEERING
MECHANICAL ENGINEERING RELATED TECHNOLOGIES
MECHANICAL ENGINEERING TECHNOLOGY
MEDICAL ASSISTING SERVICES
MEDICAL LABORATORY SCIENCE
MEDICAL LABORATORY SCIENCE - ONLINE
MEDICAL SCIENCES
MEDICAL TECHNOLOGIES TECHNICIANS
METALLURGICAL ENGINEERING
MICROBIOLOGY
MIDDLE CHILDHOOD EDUCATION - LANGUAGE ART & NATURAL SCIENCE
MIDDLE CHILDHOOD EDUCATION - LANGUAGE ARTS & MATHEMATICS
MIDDLE CHILDHOOD EDUCATION - LANGUAGE ARTS & SOCIAL STUDIES
MIDDLE CHILDHOOD EDUCATION - MATH & NATURAL SCIENCE
MIDDLE CHILDHOOD EDUCATION - SOC STUDIES & NAT SCIENCE
MIDDLE CHILDHOOD EDUCATION - SOCIAL STUDIES & MATH
MILITARY TECHNOLOGIES
MINING AND MINERAL ENGINEERING
MISCELLANEOUS AGRICULTURE
MISCELLANEOUS BIOLOGY
MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION
MISCELLANEOUS EDUCATION
MISCELLANEOUS ENGINEERING
MISCELLANEOUS ENGINEERING TECHNOLOGIES
MISCELLANEOUS FINE ARTS
MISCELLANEOUS HEALTH MEDICAL PROFESSIONS
MISCELLANEOUS PSYCHOLOGY
MISCELLANEOUS SOCIAL SCIENCES
MOLECULAR BIOLOGY
MULTI/INTERDISCIPLINARY STUDIES
MULTI-DISCIPLINARY OR GENERAL SCIENCE
MUSIC
MUSIC EDUCATION
MUSIC HISTORY
MUSICAL THEATER
N/A (less than bachelor's degree)
NATURAL RESOURCES MANAGEMENT
NAVAL ARCHITECTURE AND MARINE ENGINEERING
NEUROSCIENCE
"NEUROSCIENCE - BRAIN, MIND, BEHAVIOR"
NEUROSCIENCE - NEUROBIOLOGY
NEUROSCIENCE - NEUROPSYCHOLOGY
NUCLEAR ENGINEERING
"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES"
NURSING
NUTRITION SCIENCES
OBOE
OCEANOGRAPHY
OPERATIONS LOGISTICS AND E-COMMERCE
OPERATIONS MANAGEMENT
ORGAN
ORGANIZATIONAL LEADERSHIP
OTHER FOREIGN LANGUAGES
PARALEGAL STUDIES
PERCUSSION
PETROLEUM ENGINEERING
PHARMACOLOGY
PHARMACY
PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION
PHILOSOPHY
PHILOSOPHY - COGNITIVE STUDIES
PHILOSOPHY AND RELIGIOUS STUDIES
PHYSICAL AND HEALTH EDUCATION TEACHING
PHYSICAL FITNESS PARKS RECREATION AND LEISURE
PHYSICAL SCIENCES
PHYSICS
PHYSICS ASTROPHYSICS
PHYSIOLOGY
PIANO
PLANT SCIENCE AND AGRONOMY
POLITICAL SCIENCE
POLITICAL SCIENCE AND GOVERNMENT
PRE-LAW AND LEGAL STUDIES
PRE-PHARMACY
PSYCHOLOGY
PUBLIC ADMINISTRATION
PUBLIC POLICY
RADIATION SCIENCE - ONLINE
REAL ESTATE
RESPIRATORY THERAPY - ONLINE
SAXOPHONE
SCHOOL STUDENT COUNSELING
SCIENCE AND COMPUTER TEACHER EDUCATION
SECONDARY EDUCATION - CHEMISTRY
SECONDARY EDUCATION - EARTH SCIENCE
